level,trim_-2.0,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_2.0,trim_3.0,trim_4.0,trim_5.0,trim_6.0,trim_7.0,trim_8.0
5.75,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08675,-0.10875,-0.1305,-0.1525,-0.17425
5.76,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08675999999999999,-0.10876,-0.13052,-0.15252,-0.17428
5.7700000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08677,-0.10877,-0.13054000000000002,-0.15254,-0.17431
5.78,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08678,-0.10878,-0.13056,-0.15256,-0.17434
5.79,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08678999999999999,-0.10879,-0.13058,-0.15258,-0.17437
5.8,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08679999999999999,-0.1088,-0.1306,-0.15259999999999999,-0.1744
5.8100000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08681,-0.10881,-0.13062,-0.15262,-0.17443
5.82,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08682,-0.10882,-0.13064,-0.15264,-0.17445999999999998
5.83,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08682999999999999,-0.10883,-0.13066,-0.15266,-0.17448999999999998
5.84,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08684,-0.10884,-0.13068000000000002,-0.15268,-0.17451999999999998
5.8500000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08685,-0.10885,-0.1307,-0.1527,-0.17454999999999998
5.86,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08685999999999999,-0.10886,-0.13072,-0.15272,-0.17457999999999999
5.87,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08686999999999999,-0.10887,-0.13074,-0.15274,-0.17461
5.88,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08688,-0.10888,-0.13076000000000002,-0.15276,-0.17464
5.89,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08689,-0.10889,-0.13078,-0.15278,-0.17467
5.9,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08689999999999999,-0.1089,-0.1308,-0.1528,-0.1747
5.91,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08690999999999999,-0.10890999999999999,-0.13082,-0.15281999999999998,-0.17473
5.92,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08692,-0.10892,-0.13084,-0.15284,-0.17476
5.93,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08693,-0.10893,-0.13086,-0.15286,-0.17479
5.94,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08693999999999999,-0.10894,-0.13088,-0.15288,-0.17481999999999998
5.95,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08695,-0.10895,-0.13090000000000002,-0.1529,-0.17484999999999998
5.96,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08696,-0.10896,-0.13092,-0.15292,-0.17487999999999998
5.97,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08696999999999999,-0.10897,-0.13094,-0.15294,-0.17490999999999998
5.98,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08697999999999999,-0.10898,-0.13096,-0.15295999999999998,-0.17493999999999998
5.99,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08699,-0.10899,-0.13098,-0.15298,-0.17497
6.0,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.087,-0.109,-0.131,-0.153,-0.175
6.01,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04301,-0.06501,-0.08700999999999999,-0.10901,-0.13101000000000002,-0.15302,-0.17503
6.0200000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043019999999999996,-0.06502000000000001,-0.08702,-0.10902,-0.13102,-0.15304,-0.17506
6.03,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04303,-0.06503,-0.08703,-0.10903,-0.13103,-0.15306,-0.17509
6.04,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043039999999999995,-0.06504,-0.08703999999999999,-0.10904,-0.13104000000000002,-0.15308,-0.17512
6.05,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04305,-0.06505,-0.08704999999999999,-0.10905,-0.13105,-0.15309999999999999,-0.17515
6.0600000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043059999999999994,-0.06506,-0.08706,-0.10906,-0.13106,-0.15312,-0.17518
6.07,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04307,-0.06507,-0.08707,-0.10907,-0.13107,-0.15314,-0.17520999999999998
6.08,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04307999999999999,-0.06508,-0.08707999999999999,-0.10908,-0.13108,-0.15316,-0.17523999999999998
6.09,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043089999999999996,-0.06509000000000001,-0.08709,-0.10909,-0.13109,-0.15318,-0.17526999999999998
6.1000000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.0431,-0.0651,-0.0871,-0.1091,-0.1311,-0.1532,-0.17529999999999998
6.11,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043109999999999996,-0.06511,-0.08710999999999999,-0.10911,-0.13111,-0.15322,-0.17532999999999999
6.12,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04312,-0.06512,-0.08711999999999999,-0.10912,-0.13112000000000001,-0.15324,-0.17536
6.13,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043129999999999995,-0.06513000000000001,-0.08713,-0.10913,-0.13113,-0.15326,-0.17539
6.140000000000001,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04314,-0.06514,-0.08714,-0.10914,-0.13114,-0.15328,-0.17542
6.15,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043149999999999994,-0.06515,-0.08714999999999999,-0.10915,-0.13115000000000002,-0.1533,-0.17545
6.16,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04316,-0.06516,-0.08715999999999999,-0.10916,-0.13116,-0.15331999999999998,-0.17548
6.17,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04317,-0.06517,-0.08717,-0.10917,-0.13117,-0.15334,-0.17551
6.18,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043179999999999996,-0.06518,-0.08718,-0.10918,-0.13118000000000002,-0.15336,-0.17554
6.19,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04319,-0.06519,-0.08718999999999999,-0.10919,-0.13119,-0.15338,-0.17556999999999998
